title; text; author
God; God is a Concept by which||we measure our pain||I'll say it again||God is a Concept by which||we measure our pain||I don't believe in magic||I don't believe in I-ching||I don't believe in Bible||I don't believe in Tarot||I don't believe in Hitler||I don't believe in Jesus||I don't believe in Kennedy||I don't believe in Buddha||I don't believe in Mantra||I don't believe in Gita||I don't believe in Yoga||I don't believe in Kings||I don't believe in Elvis||I don't believe in Zimmerman||I don't believe in Beatles||I just believe in me...and that reality||The dream is over||What can I say?||the Dream is Over||Yesterday||I was the Dreamweaver||But now I'm reborn||I was the Walrus||But now I'm John||and so dear friends||you'll just have to carry on||The Dream is over||; 1
My Mummy's Dead; My Mummy's Dead||I can't get it through my head||Though it's been so many years||My Mummy's Dead||It's hard to explain||So much Pain||I could never show it||My Mummy's Dead||; 1
Cold Turkey; Temperature's rising||Fever is high||Can't see no future||Can't see no sky||My feet are so heavy||So is my head||I wish I was a baby||I wish I was dead||Cold turkey has got me on the run||My body is aching||Goose-pimple bone||Can't see no body||Leave me alone||My eyes are wide open||Can't get to sleep||One thing I'm sure of||I'm in at the deep freeze||Cold turkey has got me on the run||Cold turkey has got me on the run||Thirty-six hours||Rolling in pain||Praying to someone||Free me again||Oh I'll be a good boy||Please make me well||I promise you anything||Get me out of this hell||Cold turkey has got me on the run||Oh, oh, oh, oh||; 1
The Luck Of The Irish (Live); If you had the luck of the Irish||You'd be sorry and wish you were dead||You should have the luck of the Irish||And you'd wish you was English instead!||A thousand years of torture and hunger||Drove the people away from their land||A land full of beauty and wonder||Was raped by the British brigands! Goddamn! Goddamn!||If you could keep voices like flowers||There'd be shamrock all over the world||If you could drink dreams like Irish streams||Then the world would be high as the mountain of morn||In the 'Pool they told us the story||How the English divided the land||Of the pain, the death and the glory||And the poets of auld Eireland||If we could make chains with the morning dew||The world would be like Galway Bay||Let's walk over rainbows like leprechauns||The world would be one big Blarney stone||Why the hell are the English there anyway?||As they kill with God on their side||Blame it all on the kids the IRA||As the bastards commit genocide! Aye! Aye! Genocide!||If you had the luck of the Irish||You'd be sorry and wish you was dead||You should have the luck of the Irish||And you'd wish you was English instead!||Yes you'd wish you was English instead!||; 1
John Sinclair (Live); It ain't fair, John Sinclair||In the stir of breathing air||Won't you care for John Sinclair?||In the stair of breathing air.||Let him be, set him free||Let him be like you and me.||They give him ten for two||What else can the judges do?||Gotta, gotta.....gotta, set him free.||If he had been a soldier man||Shooting gooks in Vietnam||If he was the CIA||Selling dope and making hay||He'd be free, they'd let him be||Breatthing air, like you and me||They gave me ten for two||What more can the judges do?||Gotta, gotta....gottta set him freee.||Was he jailed for what he done?||Representing everyone||Free john now, if we can||From the clutches oof the man||Let him free, lift the lid||Bring him to his wife and kids.||They gave me ten for two||What more can the bastards do?||Gotta, gotta...gotta set him free...||; 1
Woman Is The Nigger Of The World; Woman is the nigger of||the world||Yes she is...think about it||Woman is the nigger of||the world||Think about it...do||something about it||We make her paint her||face and dance||If she won't be slave ,we||say that she don't love us||If she's real, we say she's||trying to be a man||While putting her down we||pretend that she is above us||Woman is the nigger of||the world...yes she is||If you don't belive me take a||look to the one you're with||Woman is the slaves of||the slaves||Ah yeah...better screem||about it||We make her bear and raise||our children||And then we leave her flat for||being a fat old mother hen||We tell her home is the only||place she would be||Then we complain that she's||too unworldly to be our friend||Woman is the nigger of||the world...yes she is||If you don't belive me take a||look to the one you're with||Woman is the slaves of||the slaves||Yeah (think about it)||We insult her everyday on TV||And wonder why she has no||guts or confidence||When she's young we kill her||will to be free||While telling her not to be so||smart we put her down for being so dumb||Woman is the nigger of||the world...yes she is||If you don't belive me take a||look to the one you're with||Woman is the slaves of||the slaves||Yes she is...if you belive me,||you better screem about it.||Repeat:||We make her paint her||face and dance||We make her paint her||face and dance We make her paint her||face and dance||; 1
What You Got; Don't wanna be a drag, everybody gotta bag||I know you know, 'bout the emperor's clothes||You don't know what you got, until you lose it||You don't know what you got, until you lose it||You don't know what you got, until you lose it||Oh baby, baby, baby gimme one more chance||Well it's Saturday night and I just gotta rip it up||Sunday morning I just gotta give it up||Come Monday momma and I just gotta run away||You know it's such a drag to face another day||You don't know what you got, until you lose it||You don't know what you got, until you lose it||You don't know what you got, until you lose it||Oh baby, baby, baby gimme one more chance||You know the more it change, the more it stays the same||You gotta hang on in, you gotta cut the string||You don't know what you got, until you lose it||You don't know what you got, until you lose it||You don't know, you don't know what you got, until you lose it||Oh baby, baby, baby gimme one more chance||; 1
Watching The Wheels; People say I'm crazy doing what I'm doing,||Well they give me all kinds of warnings to save me from ruin,||When I say that I'm o.k. they look at me kind of strange,||Surely your not happy now you no longer play the game,||People say I'm lazy dreaming my life away,||Well they give me all kinds of advice designed to enlighten me,||When I tell that I'm doing Fine watching shadows on the wall,||Don't you miss the big time boy you're no longer on the ball?||I'm just sitting here watching the wheels go round and round,||I really love to watch them roll,||No longer riding on the merry-go-round,||I just had to let it go,||People asking questions lost in confusion,||Well I tell them there's no problem,||Only solutions,||Well they shake their heads and they look at me as if I've lost my mind,||I tell them there's no hurry...||I'm just sitting here doing time,||I'm just sitting here watching the wheels go round and round,||I really love to watch them roll,||No longer riding on the merry-go-round,||I just had to let it go.||; 1
Dear Yoko; Even after all these years,||I miss you when your not here,||I wish you were here my dear Yoko,||Even if it's just a day,||I miss you when your away,||I wish you were here today dear Yoko,||Even if it's just one night,||I miss you and it don't feel right,||I wish you were here tonight dear Yoko,||Even if it's just an hour,||I wilt just like a fading flower,||Ain't nothing in the world like our love dear Yoko,||Oh Yoko!||I'll never ever ever ever gonna let you go,||Oh Yoko!||I'll never ever ever ever gonna let you go,||Even when I'm miles at sea,||And nowhere is the place to be,||Your spirit's watching over me dear Yoko,||Even when I watch T.V.||There's hole where your supposed to be,||There's nobody lying next to me,||Oh Yoko!||I'll never ever ever ever gonna let you go,||Oh Yoko!||I'll never ever ever ever gonna let you go,||Even after all this time,||I miss you like the sun don't shine,||Without you I'm a one track mind dear Yoko,||After all is really said and done,||The two of us are really one,||The goddess really smiled upon our love dear Yoko.||; 1
Real Love; All my little plans and schemes||Lost like some forgotten dream||Seems like all I really was doing||Was waiting for you||Just like little girls and boys||Playing with their little toys||Seems like all they really were doing||Was waiting for you||Don't need to be alone||No need to be alone||It's real love||It's real, yes it's real love||It's real||From this moment on I know||Exactly where my life will go||Seems that all I really was doing||Was waiting for love||Don't need to be afraid||No need to be afraid||It's real love||It's real, yes it's real love||It's real||Thought I'd been in love before,||But in my heart I wanted more||Seems like all I really was doing||Was waiting for you||Don't need to be alone||No need to be alone||It's real love||Yes it's real, yes it's real love||It's real, yes it's real love...||; 1
