title; text; crap; lines; author
#9 Dream;  so long ago was it in a dream was it just a dream i know yes i know seemed so very real it seemed so real to me took a walk down the street thru the heat whispered trees i thought i could hear (hear hear hear) somebody call out my name as it started to rain two spirits dancing so strange ah b'wakawa pouss pouss ah b'wakawa pouss pouss ah b'wakawa pouss pouss dream dream away magic in the air was magic in the air i believe yes i believe more i cannot say what more can i say on a river of sound thru the mirror go round round i thought i could feel (feel feel feel) music touching my soul something warm sudden cold the spirit dance was unfolding ah b'wakawa pouss pouss ah b'wakawa pouss pouss ah b'wakawa pouss pouss ah b'wakawa pouss pouss ah b'wakawa pouss pouss ah b'wakawa pouss pouss ah b'wakawa pouss pouss ah b'wakawa pouss pouss ah b'wakawa pouss pouss ah b'wakawa pouss pouss ah b'wakawa pouss pouss ;0;31;1
(Forgive Me) My Little Flower Princess;  forgive me my little flower princess for crushing your delicateness forgive me if you could forgive me forgive me my little flower princess for selfishness forgive me forgive me well i know there is no way to repay you whatever it takes i will try to the rest of my life i will thank you (thank you thank you) my little if you'll forgive me my little flower princess never too late unless you can't forgive time is on our side let's not waste another minute 'cause i love you my little friend i really love you give me just one more chance and i'll show you  take up the dance where we left off the rest of our life is themy little (i'm home) ;0;20;1
(Just Like) Starting Over;  our life together is so precious together we have grown  we have grown although our love is still special let's take our chance and fly away somewhere alone it's been so long since we took the time noone's to blame i know time flies so quikly but when i see you darling it's like we both are falling in love again it'll be just like starting over  starting over everyday we used to make it love why can't we be making love nice and easy it's time to spread our wing's and fly don't let another day go by my love it'll be just like starting over  starting over why don't we take off alone take a trip far far away we'll be together on our own again like we used to in the early days well well well darling it's been so long since we took the time noone's to blame i know time flies so quikly but when i see you darling it's like we both are falling in love again it'll be just like starting over  starting over everyday we used to make it love why can't we be making love nice and easy it's time to spread our wing's and fly don't let another day go by my love it'll be just like starting over  starting over our life together is so precious together we have grown  we have grown although our love is still special let's take our chance and fly away somewhere alone ;0;34;1
A Day In The Life;  i read the news today oh boy about a lucky man who made the grade and though the news was rather sad well i just had to laugh i saw the photograph he blew his mind out in a car he didn't notice that the lights had changed a crowd of people stood and stared they'd seen his face before nobody was really sure if he was from the house of lords i saw a film today oh boy the english army had just won the war a crowd of people turned away but i just had to look having read the book i'd love to turn you on woke up fell out of bed dragged a comb across my head found my way downstairs and drank a cup and looking up i noticed i was late found my coat and grabbed my hat made the bus in seconds flat found my way upstairs and had a smoke somebody spoke and i went into a dream i read the news today oh boy four thousand holes in blackburn lancashire and though the holes were rather small they had to count them all now they know how many holes it takes to fill the albert hall i'd love to turn you on ;0;30;1
After The Ball / Million Miles;  after the ball after the ball you were the one out in the hall you were the one the one who would love me after the ball after the ball after the ball you were the one out in the hall you were the one the one who would love me after the ball well i arrived looked around but the room was full of strangers nowhere was a freindly face to be found later on i awoke but the party it was over there you were waiting to bring me 'round how many million miles dayoh how many million miles dayoh when i get up up up in the morning whoa lord i know when i look up up up in the morning whoa lord i know how many million miles dayoh how many million miles dayoh how many million miles dayoh ;0;14;0
Again And Again And Again;  now you don't wanna be the little woman no you don't want to be the little woman i love no no no no i love now you don't wanna stay in my school you don't wanna be the one that's cool you don't wanna be the little woman i love you're up all night and we can let it hang out right (yeah) i said goodbye to all my expectations the day you walked out of my life winter time is coming now gimme a sign if you can somehow make it clear where you're heading for will i see you someday at my door taking it all into consideration love's a game i never win i've been in very simil'r situations again and again and again oh no now you don't wanna be the little woman no you don't want to be the little woman i love no no no no i love now you don't wanna stay in my home you just wanna be on your own you don't wanna be the little woman i love take it away [guitar solo] ah yeah well things were fine all the summer long then things changed so where did we go wrong we can run but we cannot hide in the greener grass on the other side taking it all into consideraton love's a game i never win i've been in very simil'r situations again and again and again again and again and again ;1;33;0
'Aisumasen (I'm Sorry);  when i'm down really yin and i don't know what i'm doing aisumasen yoko all i had to do was call your name and when i hurt you and cause you pain darling i promise i won't do it again aisumasen yoko it's hard enough i know just to feel your own pain all that i know is just what you tell me all that i know is just what you show me when i'm down real sanpaku and i don't know what to do aisumasen yoko san all i had to do was call your name yes all i had to do was call your name ;0;14;1
Angela;  angela they put you in prison angela they shot down your man angela you`re one of the millions of political prisioners in the world sister theres wind that never dies sister were breathing together sister our loves and hopes forever keep on moving oh so slowly in the world angela can you hear the earth is turning angela the world watches you angela you soon will be returning to your sisters and brothers of the world sister you`re still a people teacher sister your word reaches far sister there`s a million different races but we all share the same future in the world they gave you sunshine they gave you sea they gave you everything but the jailhouse key they gave you coffee they gave you tea they gave you everything but equality ;0;36;1
Another Day;  every day she takes a morning bath s e wets her hair wraps a towel around her as she's heading for the bedroom chair it's just another day slipping into stockings stepping into shoes dipping in the pocket of her raincoat ah it's just another day at the office where the papers grow she takes a break drinks another coffee and she finds it hard to stay awake it's just another day du du du du du it's just another day du du du du du lt's just another day ay so sad so sad sometimes she feels so sad alone in her apartment she'd dwell till the man of her dreams comes to break the spell ah stay don't stand around and he comes and he stays but he leaves the next day so sad sometimes she feels so sad as she posts another letter to the sound of five people gather 'round her and she finds it hard to stay alive it's just another day du du du du du it's just another day du du du du du it's just another day ay so sad so sad sometimes she feels so sad alone in her apartment she'd dwell till the man of her dreams comes to break the spell ah stay don't stand around and he comes and he stays but he leaves the next day so sad sometimes she feels so sad every day she takes a morning bath she wets her hair wraps a towel around her as she's heading for the bedroom chair it's just another day slipping into stockings stepping into shoes dipping in the pockets of her raincoat ah it's just another day du du du du du it's just another day du du du du du it's just another day ;0;49;0
Arrow Through Me;  ooh baby you couldn't have done a worse thing to me if you'da taken an arrow and run it right through me ooh ooh baby a bird in the hand is worth two flyin' but when it came to love i'd knew you'd be lyin' it could have been a finer thing would have been a major attraction with no other thing: offering a note of distraction come on get up get under way bring your love ooh baby you wouldn't have found a more down hero if you'da started at nothing and counted to zeero oooooo ooh baby you couldn't have done a worse thing to me if you'da taken an arrow and run it right through me it could have been a finer thing would have been amajor attraction if no other thing than offering a no love distraction come on get up get under way bring your love ooh baby you wouldn't have found a more down hero if you'da started at nothing and counted the zeero ;1;18;0
