title; text; author
Love; Love is real , real is love||Love is feeling , feeling love||Love is wanting to be loved||Love is touch, touch is love||Love is reaching, reaching love||Love is asking to be loved||Love is you||You and me||Love is knowing||we can be||Love is free, free is love||Love is living, living love||Love is needed to be loved||; 1
Working Class Hero; As soon as your born they make you feel small||by giving you no time instead of it all||Till the pain is so big you feel nothing at all||Working Class Hero is something to be||Working Class Hero is something to be||They hurt you at home and they hit you at school||They hate you if you're clever and despise a fool||Till you're so fucking crazy you can't follow their rules||Working Class Hero is something to be||Working Class Hero is something to be||When they've tortured and scared you for 20 odd years||then they expect you to pick a career||When you can't really function you're so full of fear||Working Class Hero is something to be||Working Class Hero is something to be||Keep you doped with religon, sex and T.V.||and you think you're so clever and classless and free||but you're still fucking peasents as far as I can see||Working Class Hero is something to be||Working Class Hero is something to be||There's room at the top I'm telling you still||but first you must learn how to smile as you kill||if you want to be like the folks on the hill||Working Class Hero is something to be||Yes , A Working Class Hero is something to be||If you want to be a hero well just follow me||If you want to be a hero well just follow me||; 1
Well, Well, Well; I took my loved one out to dinner||So we could get a bite to eat||And though we both had been much thinner||She looked so beautiful I could eat her||Well Well Well Oh Well||We sat and talked of revolution||just like to librals in the sun||we talked of womens liberation||and how the hell we could get thing done||Well Well Well Oh Well||I took my loved one to a big field||So we could watch the english sky||Were both feeling guilty||And neither one of us knew just why||Well Well Well Oh Well||; 1
Look At Me; Look at me||what am I supposed to be?||what am I supposed to be?||Look at me||what am I supposed to be?||what am I supposed to be?||Look at me||Oh My Love Oh My Love||Here I am||what am I supposed to do?||what am I supposed to do?||Here I am||What can I do for you?||What can I do for you?||Here I am||Oh My Love Oh My Love||Look at me,Oh Please Look at me,My Love||here I am-Oh My Love||Who am I?||Nobody knows but me||Nobody knows but me||Who am I?||Nobody else can see||Just you and me||Who are we||Oh My Love Oh My Love||; 1
God; God is a Concept by which||we measure our pain||I'll say it again||God is a Concept by which||we measure our pain||I don't believe in magic||I don't believe in I-ching||I don't believe in Bible||I don't believe in Tarot||I don't believe in Hitler||I don't believe in Jesus||I don't believe in Kennedy||I don't believe in Buddha||I don't believe in Mantra||I don't believe in Gita||I don't believe in Yoga||I don't believe in Kings||I don't believe in Elvis||I don't believe in Zimmerman||I don't believe in Beatles||I just believe in me...and that reality||The dream is over||What can I say?||the Dream is Over||Yesterday||I was the Dreamweaver||But now I'm reborn||I was the Walrus||But now I'm John||and so dear friends||you'll just have to carry on||The Dream is over||; 1
My Mummy's Dead; My Mummy's Dead||I can't get it through my head||Though it's been so many years||My Mummy's Dead||It's hard to explain||So much Pain||I could never show it||My Mummy's Dead||; 1
Cold Turkey; Temperature's rising||Fever is high||Can't see no future||Can't see no sky||My feet are so heavy||So is my head||I wish I was a baby||I wish I was dead||Cold turkey has got me on the run||My body is aching||Goose-pimple bone||Can't see no body||Leave me alone||My eyes are wide open||Can't get to sleep||One thing I'm sure of||I'm in at the deep freeze||Cold turkey has got me on the run||Cold turkey has got me on the run||Thirty-six hours||Rolling in pain||Praying to someone||Free me again||Oh I'll be a good boy||Please make me well||I promise you anything||Get me out of this hell||Cold turkey has got me on the run||Oh, oh, oh, oh||; 1
The Luck Of The Irish (Live); If you had the luck of the Irish||You'd be sorry and wish you were dead||You should have the luck of the Irish||And you'd wish you was English instead!||A thousand years of torture and hunger||Drove the people away from their land||A land full of beauty and wonder||Was raped by the British brigands! Goddamn! Goddamn!||If you could keep voices like flowers||There'd be shamrock all over the world||If you could drink dreams like Irish streams||Then the world would be high as the mountain of morn||In the 'Pool they told us the story||How the English divided the land||Of the pain, the death and the glory||And the poets of auld Eireland||If we could make chains with the morning dew||The world would be like Galway Bay||Let's walk over rainbows like leprechauns||The world would be one big Blarney stone||Why the hell are the English there anyway?||As they kill with God on their side||Blame it all on the kids the IRA||As the bastards commit genocide! Aye! Aye! Genocide!||If you had the luck of the Irish||You'd be sorry and wish you was dead||You should have the luck of the Irish||And you'd wish you was English instead!||Yes you'd wish you was English instead!||; 1
John Sinclair (Live); It ain't fair, John Sinclair||In the stir of breathing air||Won't you care for John Sinclair?||In the stair of breathing air.||Let him be, set him free||Let him be like you and me.||They give him ten for two||What else can the judges do?||Gotta, gotta.....gotta, set him free.||If he had been a soldier man||Shooting gooks in Vietnam||If he was the CIA||Selling dope and making hay||He'd be free, they'd let him be||Breatthing air, like you and me||They gave me ten for two||What more can the judges do?||Gotta, gotta....gottta set him freee.||Was he jailed for what he done?||Representing everyone||Free john now, if we can||From the clutches oof the man||Let him free, lift the lid||Bring him to his wife and kids.||They gave me ten for two||What more can the bastards do?||Gotta, gotta...gotta set him free...||; 1
Woman Is The Nigger Of The World; Woman is the nigger of||the world||Yes she is...think about it||Woman is the nigger of||the world||Think about it...do||something about it||We make her paint her||face and dance||If she won't be slave ,we||say that she don't love us||If she's real, we say she's||trying to be a man||While putting her down we||pretend that she is above us||Woman is the nigger of||the world...yes she is||If you don't belive me take a||look to the one you're with||Woman is the slaves of||the slaves||Ah yeah...better screem||about it||We make her bear and raise||our children||And then we leave her flat for||being a fat old mother hen||We tell her home is the only||place she would be||Then we complain that she's||too unworldly to be our friend||Woman is the nigger of||the world...yes she is||If you don't belive me take a||look to the one you're with||Woman is the slaves of||the slaves||Yeah (think about it)||We insult her everyday on TV||And wonder why she has no||guts or confidence||When she's young we kill her||will to be free||While telling her not to be so||smart we put her down for being so dumb||Woman is the nigger of||the world...yes she is||If you don't belive me take a||look to the one you're with||Woman is the slaves of||the slaves||Yes she is...if you belive me,||you better screem about it.||Repeat:||We make her paint her||face and dance||We make her paint her||face and dance We make her paint her||face and dance||; 1
What You Got; Don't wanna be a drag, everybody gotta bag||I know you know, 'bout the emperor's clothes||You don't know what you got, until you lose it||You don't know what you got, until you lose it||You don't know what you got, until you lose it||Oh baby, baby, baby gimme one more chance||Well it's Saturday night and I just gotta rip it up||Sunday morning I just gotta give it up||Come Monday momma and I just gotta run away||You know it's such a drag to face another day||You don't know what you got, until you lose it||You don't know what you got, until you lose it||You don't know what you got, until you lose it||Oh baby, baby, baby gimme one more chance||You know the more it change, the more it stays the same||You gotta hang on in, you gotta cut the string||You don't know what you got, until you lose it||You don't know what you got, until you lose it||You don't know, you don't know what you got, until you lose it||Oh baby, baby, baby gimme one more chance||; 1
