title; text; author
Listen To What The Man Said; Any Time, Any Day||You Can Hear The People Say,||But He Wont Mind, Well, I Don't Know||But I Say Love Is Kind||Soldier Boy Kisses Girl||Leaves Behind A Tragic World||But He Wont Mind, He's In Love||And He Says Love Is Fine||Oh - Yes, Indeed We Know||That People Will Find A Way To Go||No Matter What The Man Said||And Love Is Fine For All We Know||For All We Know, Our Love Will Grow||- That's What The Man Said||So Won't You Listen To What The Man Said||He Said . . . . .||Oh - Yes, Indeed We Know||That People Will Find A Way To Go . . .||Oh - Yes, Indeed We Know||That People Will Find A Way To Go . . .||Etc. Etc.||The Wonder Of It All Baby . . . . .||The Wonder Of It All Baby . . . . .||The Wonder Of It All Baby . . . . .||; 0
Band On The Run; Stuck inside these four walls, sent inside forever,||Never seeing no one nice again like you,||Mama you, mama you.||If i ever get out of here,||Thought of giving it all away||To a registered charity.||All i need is a pint a day||If i ever get out of here.||Well, the rain exploded with a mighty crash as we fell into the sun,||And the first one said to the second one there i hope you're having fun.||Band on the run, band on the run.||And the jailer man and sailor sam were searching every one||For the band on the run, band on the run, band on the run, band on the run||Well, the undertaker drew a heavy sigh seeing no one else had come,||And a bell was ringing in the village square for the rabbits on the run.||Band on the run, band on the run.||And the jailer man and sailor sam, were searching every one||For the band on the run, band on the run, band on the run, band on the run||Well, the night was falling as the desert world began to settle down.||In the town they're searching for us every where, but we never w ill be found.||Band on the run, band on the run||And the county judge, who held a grudge||Will search for evermore||For the band on the run, band on the run, band on the run, band on the run||; 0
Another Day; Every Day She Takes A Morning Bath S E Wets Her Hair,||Wraps A Towel Around Her||As She's Heading For The Bedroom Chair,||It's Just Another Day.||Slipping Into Stockings,||Stepping Into Shoes,||Dipping In The Pocket Of Her Raincoat.||Ah, It's Just Another Day.||At The Office Where The Papers Grow She Takes A Break,||Drinks Another Coffee||And She Finds It Hard To Stay Awake,||It's Just Another Day. Du Du Du Du Du||It's Just Another Day. Du Du Du Du Du||Lt's Just Another Day.||Ay||So Sad, So Sad,||Sometimes She Feels So Sad.||Alone In Her Apartment She'd Dwell,||Till The Man Of Her Dreams Comes To Break The Spell.||Ah, Stay, Don't Stand Around||And He Comes And He Stays||But He Leaves The Next Day,||So Sad.||Sometimes She Feels So Sad.||As She Posts Another Letter To The Sound Of Five,||People Gather 'Round Her||And She Finds It Hard To Stay Alive,||It's Just Another Day. Du Du Du Du Du||It's Just Another Day. Du Du Du Du Du||It's Just Another Day.||Ay||So Sad, So Sad,||Sometimes She Feels So Sad.||Alone In Her Apartment She'd Dwell,||Till The Man Of Her Dreams Comes To Break The Spell.||Ah, Stay, Don't Stand Around||And He Comes And He Stays||But He Leaves The Next Day,||So Sad.||Sometimes She Feels So Sad.||Every Day She Takes A Morning Bath She Wets Her Hair,||Wraps A Towel Around Her||As She's Heading For The Bedroom Chair,||It's Just Another Day.||Slipping Into Stockings,||Stepping Into Shoes,||Dipping In The Pockets Of Her Raincoat.||Ah, It's Just Another Day. Du Du Du Du Du||It's Just Another Day. Du Du Du Du Du||It's Just Another Day.||; 0
Live And Let Die; When You Were Young And Your Heart Was An Open Book||You Used To Say Live And Let Live||(You Know You Did, You Know You Did You Know You Did)||But In This Ever Changing World In Which We Live In||Makes You Give In And Cry||Say Live And Let Die||Live And Let Die||Live And Let Die||Live And Let Die||What Does It Matter To Ya||When You Got A Job To Do||You Gotta Do It Well||You Gotta Give The Other Fellow Hell||When You Were Young And Your Heart Was An Open Book||You Used To Say Live And Let Live||(You Know You Did, You Know You Did You Know You Did)||But In This Ever Changing World In Which We Live In||Makes You Give In And Cry||; 0
Jet; Jet! i can almost remember their funny faces||That time you told me that||You were going to be marrying soon.||And jet, i thought the only||Lonely place was on the moon.||Jet! jet!||Jet! was your father as bold as a sergeant major?||How come he told you that||You were hardly old enough yet?||And jet, i thought the major||Was a lady suffragette.||Jet! jet!||Ah, matter, want jet to always love me?||Ah, matter, want jet to always love me?||Ah, matter, much later.||Jet! with the wind in your hair of a thousand laces.||Climb on the back and we'll||Go for a ride in the sky.||And jet, i thought the major||Was a lady suffragette.||Jet! jet!||; 0
My Love; And When I Go Away||I Know My Heart Can Stay With My Love||It's Understood||It's In The Hands Of My Love||And My Love Does It Good||Wo-Wo-Wo-Wo-Wo-Wo||My Love Does It Good||And When The Cupboards Bare||I'll Still Find Something There With My Love||It's Understood||It's Everywhere With My Love||And My Love Does It Good||Wo-Wo-Wo-Wo Wo-Wo-Wo-Wo||My Love Does It Good||I Love Oh Wo......My Love||Only My Love Holds The Other Key To Me||Oh....My Love Oh...My Love||Only My Love Does It Good To Me||Solo||Wo-Wo-Wo-Wo Wo-Wo-Wo-Wo||My Love Does It Good||Don't Ever Ask Me Why #10#13 I Never Say Goodbye To My Love||It's Understood||It's Everywhere With My Love||And My Love Does It Good||Wo-Wo-Wo-Wo Wo-Wo-Wo-Wo||My Love Does It Good||Oh....My Love Oh...My Love||Only My Love Does It Good To Me||Wo..................||; 0
Silly Love Songs; You'd Think That People Would Have Had Enought Of Silly Love Songs.||But I Look Around Me And I See It Isn't So.||Some People Wanna Fill The World With Silly Love Songs.||And What's Wrong With That?||I'd Like To Know, 'Cause Here I Go Again||I Love You, I Love You,||I Love You, I Love You.||I Can't Explain The Feeling's Plain To Me; Say Can't You See?||Ah, She Gave Me More, She Gave It All To Me||Now Can't You See, What's Wrong With That||I Need To Know, 'Cause Here I Go Again||I Love You, I Love You.||Love Doesn't Come In A Minute,||Sometimes It Doesn't Come At All||I Only Know That When I'm In It||It Isn't Silly, No, It Isn't Silly, Love Isn't Silly At All.||How Can I Tell You About My Loved One?||How Can I Tell You About My Loved One?||How Can I Tell You About My Loved One?||(I Loveyou)||How Can I Tell You About My Loved One?||(I Loveyou)||[Repeat And Fade]||; 0
Pipes Of Peace; I Light A Candle To Our Love||In Love Our Problems Disapper||But All In All We Soon Discover||That One And One Is All We Long To Hear||All'round The World||Little Children Being Born To The World||Got To Give Them All We Can 'Til The War Is Won||Then Will The Work Be Done||Help Them To Learn (Help Them To Learn)||Songs Of Joy Instead Of Burn, Baby, Burn(Burn, Baby Burn)||Let Us Show Them How To Play The Pipes Of Peace||Play The Pipes Of Peace||Help Me To Learn||Songs Of Joy Instead Of Burn, Baby, Burn||Won't You Show Me To Play(How To Play) The Pipes Of Peace(Pipes Of||Peace)||Play The Pipes Of Peace||What Do You Say?(What Do You Say)||Will The Human Race Be Run In A Day? (In A Day)||Or Will Someone Save This Planet We're Playing On?||Is It The Only One? (What Are We Going To Do?)||Help Them To See (Help Them To See)||That The People Here Are Like You And Me (You And Me)||Let Us Show Them How To Play(How To Play)The Pipes Of||Peace(Pipesofpeace)||Play The Pipes Of Peace||Ooh___________________||I Light A Candle To Our Love||In Love Our Problems Disapper||But All In All We Soon Discover||That One And One Is All We Long To Hear||All'round The World||Little Children Being Born To The World||Got To Give Them All We Can 'Til The War Is Won||Then Will The Work Be Done||Help Them To Learn (Help Them To Learn)||Songs Of Joy Instead Of Burn, Baby, Burn(Burn, Baby Burn)||Let Us Show Them How To Play The Pipes Of Peace||Play The Pipes Of Peace||Help Me To Learn||Songs Of Joy Instead Of Burn, Baby, Burn||Won't You Show Me To Play(How To Play) The Pipes Of Peace(Pipes Of||Peace)||Play The Pipes Of Peace||What Do You Say?(What Do You Say)||Will The Human Race Be Run In A Day? (In A Day)||Or Will Someone Save This Planet We're Playing On?||Is It The Only One? (What Are We Going To Do?)||Help Them To See (Help Them To See)||That The People Here Are Like You And Me (You And Me)||Let Us Show Them How To Play(How To Play)The Pipes Of||Peace(Pipesofpeace)||Play The Pipes Of Peace||Ooh||I Light A Candle To Our Love||In Love Our Problems Disapper||But All In All We Soon Discover||That One And One Is All We Long To Hear||; 0
C Moon; C Moon C Moon C Moon Is She.||C Moon C Moon C Moon To Me.||How Come No One Older Than Me||Ever Seems To Understand The Things I Wanna To Do?||It Will Be L7 And I'd Never Get To Heaven||If I Filled My Head With Glue||What's It All To You?||C Moon, C Moon, C Moon Is She||C Moon, C Moon, C Moon To Me||Bobby Lived With Patty||But They Never Told Her Daddy||What Their Love Was All About||She Could Tell Her Lover That He Thought But||She Never Was The Type To Let It Out||What's It All About?||C Moon, C Moon, Oh C Moon Are We||C Moon, C Moon, C Moon Are We||How Come No One Older Than Me||Ever Seems To Understand The Things I Wanna To Do?||It Will Be L7 And I'd Never Get To Heaven||If I Filled My Head With Glue||What's It All To You?||C Moon, C Moon, C Moon Is She||C Moon, C Moon, C Moon To Me||Bobby Lived With Patty||But They Never Told Her Daddy||What Their Love Was All About||She Could Tell Her Lover That He Thought But||She Never Wanted To Let It Out||What's It All About?||C Moon, C Moon, C Moon Are We||C Moon, C Moon, C Moon Are We||Well What's It All About?||C Moon, C Moon, C Moon Are We||C Moon Are We||; 0
Hi, Hi, Hi; Well, When I Met You At The Station||You Were Standing With A Bootleg In Your Hand.||I Took You Back To My Little Place||For A Taste Of A Multicoloured Band.||We're Gonna Get Hi Hi Hi,||The Night Is Young.||She'll Be My Funky Little Mama,||Gonna Rock It And We've Only Just Begun.||We're Gonna Get Hi Hi Hi||With The Music On.||Won't Say Bye-Bye Bye-Bye Bye-Bye Bye-Bye||'Til The Night Is Gone.||I'm Gonna Do It To You, Gonna Do It,||Sweet Banana, You'll Never Give Up.||We're Gettin' Hi Hi Hi In The Midday Sun.||Well Well, Take Off Your Face,||Recover From The Trip You've Been On.||I Want To Lie On The Bed,||Get You Ready For My Polygon.||I'm Gonna Do It To You, Gonna Do It,||Sweet Banana, You've Never Been Done.||Yes, I Go Like A Rabbit, Gonna Grab It,||Gonna Do It 'Til The Night Is Done.||We're Gonna Get Hi Hi Hi With The Music On.||Won't Say Bye-Bye Bye-Bye Bye-Bye Bye-Bye||'Til The Night Is Gone.||I'm Gonna Do It To You, Gonna Do It,||Sweet Banana, You'll Never Give Up.||We're Gonna Get Hi Hi Hi, We're Gonna Get Hi Hi Hi,||We're Gonna Get Hi Hi Hi In The Midday Sun.||; 0
